structureNumber,flowChartResult,randomForest,NDOTResult
C007413505P,No,,No,
C007413605,Yes,,No,
C007413605P,Yes,,No,
C007413610P,No,,No,
C007413710,Yes,,No,
C007413830,Yes,No,No,
C007413840,Yes,,No,
C007413845,Yes,,No,
C007413850,No,,,
C007413855,No,,,
C007413857,No,,,
C007413860,No,,No,
C007413910,Yes,,,
C007414105,No,,No,
C007414110,No,,No,
C007414910,Yes,,,
C007414915,No,,No,
C007416305,No,,No,
C007420110,Yes,,,
C007420115,No,,Yes,
C007420440,No,,No,
C007420445,No,,No,
C007420510,Yes,,No,
C007421108,No,Yes,No,
C007421110,Yes,,No,
C007421220,No,,No,
C007421225,No,,No,
C007421305P,Yes,,,
C007421610,Yes,,Yes,
C007421805,Yes,,No,
C007421810,Yes,,No,
C007422025,No,,No,
C007422027,No,,No,
C007422035,No,,No,
C007422215,Yes,,No,
C007422510,No,,No,
C007422515,Yes,,No,
C007422520,No,,Yes,
C007422520P,No,,No,
C007422820P,No,,No,
C007422825P,No,,Yes,
C007423040,Yes,No,No,
C007423125P,No,,No,
C007423305,Yes,,No,
C007423310,No,,No,
C007423315,Yes,,No,
C007423415,No,,,
C007423420,Yes,,,
C007423425,Yes,,No,
C007423430,No,,No,
C007424310,No,,No,
C007424540,No,,No,
C007425105,No,,No,
C007425715,No,,Yes,
C007431620,No,,No,
C007431625,No,,No,
C007431630,No,,No,
C007431635,No,,Yes,
C007431835,No,,No,
C007432040,Yes,,No,
C007432220,No,,No,
C007432225,Yes,,No,
C007432405,No,,No,
C007432525,No,,No,
C007432820,No,,Yes,
C007432905,Yes,,No,
C007432915,Yes,,Yes,
C007433915,Yes,,No,
C007440315,No,,Yes,
C007441010,Yes,,No,
C007441020,Yes,,No,
C007441705,No,Yes,Yes,
C007442230,No,,No,
C007442610,No,Yes,No,
C007442925,No,,No,
C007443235,No,No,No,
C007443510,No,,No,
C007452408,Yes,,No,
C007452410,No,,No,
C007452825,Yes,,No,
C007452835,No,,No,
C007452840,Yes,,No,
C007453240P,Yes,,,
C007453242P,No,,,
C007462415,Yes,,No,
C007462420,No,Yes,No,
C007462620,No,Yes,No,
C007509405,Yes,,No,
C007511405,Yes,,No,
C007511815,No,,,
C007513305,Yes,,No,
C007513805,Yes,,No,
C007515705,Yes,,,
C007522105,No,,No,
C007523705,Yes,,No,
C007524315,Yes,,,
C007600205P,Yes,,No,
C007600210,Yes,,No,
C007600215,Yes,,No,
C007600220,Yes,,No,
C007600290,Yes,,,
C007600405,Yes,,No,
C007600410P,Yes,,,
C007600505,No,,No,
C007600510,Yes,,No,
C007600515,Yes,,No,
C007600520,Yes,,,
C007600525,Yes,,,
C007600605,No,,No,
C007600608,Yes,,,
C007600610,No,,No,
C007600615,No,,No,
C007601102,Yes,,,
C007601103,Yes,No,No,
C007601104,Yes,,,
C007601105,Yes,,No,
C007601110,Yes,,,
C007601115,Yes,,Yes,
C007601120,Yes,,No,
C007601203,Yes,,No,
C007601210,Yes,,,
C007601215,Yes,,No,
C007601305,Yes,,,
C007601310,Yes,,No,
C007601315,Yes,,No,
C007601320,Yes,,No,
C007601325,Yes,,No,
C007601330,Yes,,No,
C007601403P,Yes,,,
C007601405P,Yes,,,
C007601410,No,,No,
C007601505,Yes,,No,
C007601508,Yes,,No,
C007601510,Yes,,No,
C007601515,Yes,,,
C007601520,Yes,,No,
C007601605,Yes,,No,
C007601605P,Yes,,,
C007601610,Yes,Yes,No,
C007601610P,Yes,,No,
C007601615,Yes,,No,
C007601705,Yes,,No,
C007601710,Yes,,No,
C007601715,No,,No,
C007601720,Yes,,,
C007601725,No,,No,
C007601730,Yes,,No,
C007601803,No,,No,
C007601805,No,,No,
C007601810,No,,No,
C007601815,Yes,,,
C007601820,Yes,,No,
C007601905,No,,No,
C007601905P,No,,No,
C007601910,Yes,,No,
C007601940,Yes,,,
C007602005,Yes,,No,
C007602010,Yes,,,
C007602015,Yes,,,
C007602020,Yes,,,
C007602140,Yes,,No,
C007602205,Yes,,No,
C007602215,Yes,,,
C007602220,Yes,,No,
C007602225,Yes,,No,
C007602230,No,,No,
C007602232,Yes,,,
C007602235,Yes,,,
C007602240,No,,No,
C007602305,Yes,,,
C007602405,Yes,,,
C007602407,Yes,,,
C007602415,Yes,,,
C007602440,Yes,,,
C007602505,Yes,,No,
C007602510,Yes,,No,
C007602605,Yes,,,
C007602610,No,,No,
C007602615,Yes,,No,
C007602620,Yes,,No,
C007602625,Yes,,No,
C007602630,No,,No,
C007602705,No,,No,
C007602710,Yes,,No,
C007602715,Yes,,No,
C007602720,No,,No,
C007602725,No,,No,
C007602730,No,,No,
C007602830,Yes,,No,
C007602835,Yes,,No,
C007602900,Yes,,,
C007602910,No,,No,
C007602915,Yes,,No,
C007602920,Yes,,No,
C007602935,Yes,,No,
C007603005,Yes,,No,
C007603005P,Yes,,No,
C007603010,Yes,,,
C007603015,Yes,,,
C007603020,Yes,,,
C007603023,Yes,,,
C007603025,Yes,,No,
C007603105,Yes,,No,
C007603110,No,,No,
C007603205,No,,No,
C007603305,Yes,,No,
C007603305P,Yes,,No,
C007603308,Yes,,,
C007603310,Yes,,,
C007603312,Yes,,,
C007603315,Yes,,,
C007603320,No,,No,
C007603325,Yes,,,
C007603410,Yes,,No,
C007603420,Yes,,No,
C007603425,No,,No,
C007603505,Yes,,No,
C007603515,Yes,,,
C007603520,Yes,,No,
C007603525,Yes,,No,
C007603530,Yes,,,
C007603605,No,,No,
C007603610,Yes,,No,
C007603615,Yes,,,
C007603620,Yes,,,
C007603625,Yes,,No,
C007603705,Yes,,No,
C007603710,Yes,,No,
C007603715,Yes,,,
C007603720,Yes,No,No,
C007603725,Yes,,No,
C007603730,Yes,,No,
C007603735,Yes,,,
C007603737,Yes,,,
C007603740,Yes,,No,
C007603745,Yes,,,
C007603905P,Yes,,No,
C007604005,No,,No,
C007604010,Yes,,No,
C007604015,Yes,,No,
C007604020,Yes,,No,
C007604105,No,,No,
C007604115,Yes,,,
C007604205P,Yes,,,
C007604210P,Yes,,No,
C007604215P,Yes,,No,
C007604230,Yes,,,
C007604303P,Yes,,,
C007604305,Yes,,No,
C007604305P,Yes,,No,
C007604405,Yes,,No,
C007604405P,Yes,,No,
C007604410,Yes,,No,
C007604415,Yes,,No,
C007604505,No,,No,
C007604505P,No,,No,
C007604510P,Yes,No,No,
C007604515P,Yes,,No,
C007604520P,Yes,,No,
C007604530P,Yes,,No,
C007604605,Yes,,No,
C007604615,Yes,,No,
C007604705P,Yes,,No,
C007604805,Yes,,No,
C007604807,No,,No,
C007604808,Yes,,No,
C007604810,Yes,,,
C007605010,Yes,,,
C007605040,Yes,,,
C007610105,Yes,,No,
C007610115,Yes,,,
C007610117,Yes,,,
C007610303,Yes,,,
C007610305,Yes,,No,
C007610310,Yes,,No,
C007610315,Yes,,No,
C007610705,Yes,,No,
C007610710,Yes,No,No,
C007610901,Yes,,,
C007610905,Yes,,,
C007610910,Yes,,,
C007610915,Yes,,No,
C007611410,Yes,,No,
C007611620,Yes,,No,
C007611825,No,,No,
C007612005P,Yes,,,
C007612025,Yes,,No,
C007612310,No,,No,
C007613125,Yes,,Yes,
C007613127,Yes,,,
C007613130,No,,No,
C007613135,Yes,,No,
C007613140,Yes,,No,
C007613330,Yes,,No,
C007613445,Yes,,,
C007613805,Yes,,No,
C007613810,Yes,,No,
C007613815,Yes,,No,
C007613905,No,,No,
C007614205,Yes,,No,
C007614210,No,,No,
C007614302,Yes,,,
C007614305,Yes,,,
C007614310P,Yes,,No,
C007614313P,Yes,,,
C007614315P,Yes,,No,
C007614317P,Yes,,,
C007614420,Yes,,No,
C007614425,No,,No,
C007614515,Yes,,No,
C007614620,Yes,,No,
C007614625,Yes,,,
C007614630,Yes,,,
C007614635,Yes,,,
C007614640,Yes,,,
C007614705,Yes,,No,
C007614710P,Yes,,No,
C007614815,No,,No,
C007614820,Yes,,No,
C007614825,Yes,,,
C007614905,Yes,,,
C007620705,Yes,,,
C007620805,Yes,,,
C007620810,Yes,,No,
C007621405,Yes,,,
C007621420,Yes,No,No,
C007622030,Yes,,No,
C007622315,Yes,,,
C007622320,Yes,,No,
C007622325,Yes,,No,
C007622515,Yes,,No,
C007622520,Yes,,No,
C007622525,Yes,,Yes,
C007622530,Yes,,Yes,
C007623630,Yes,,,
C007623835,Yes,,,
C007623840,Yes,,,
C007623845,Yes,,,
C007623930,Yes,,,
C007624108,Yes,,,
C007624110,Yes,,No,
C007624215,Yes,,No,
C007624320P,Yes,,No,
C007624440,Yes,,No,
C007624445,Yes,,No,
C007624710,Yes,,,
C007631630,Yes,,,
C007642335,No,,No,
C007700215,Yes,,,
C007700402P,Yes,,,
C007700510,Yes,,No,
C007700515,No,,Yes,
C007701005,No,,No,
C007701010,No,Yes,No,
C007701205,No,,No,
C007701210P,No,,No,
C007701405,No,,No,
C007701405P,Yes,,,
C007701410P,Yes,,,
C007701604P,No,,No,
C007701605,Yes,,No,
C007701805P,No,,No,
C007701905,No,,No,
C007701905P,No,,No,
C007701910,Yes,,No,
C007702005,No,,No,
C007702005P,No,,No,
C007702010,No,,No,
C007702205P,Yes,,No,
C007702215,Yes,,No,
C007702310,Yes,,,
C007702313,Yes,,No,
C007702313P,Yes,,,
C007702315,Yes,,No,
C007702405P,No,,No,
C007702505,Yes,,No,
C007702505P,Yes,,,
C007703104,Yes,,,
C007703105,Yes,,No,
C007703105P,Yes,,No,
C007703305P,Yes,,,
C007703310P,Yes,,,
C007703910,Yes,,No,
C007703915,Yes,,,
C007704105P,No,,No,
C007704320,Yes,,,
C007704324P,No,,,
C007704325P,Yes,,,
C007704330P,No,,,
C007704705,No,,No,
C007704710,Yes,,,
C007704715,Yes,,,
C007710305,Yes,,No,
C007710415,Yes,,,
C007710420,No,,No,
C007710425,Yes,,,
C007710510P,No,,No,
C007710520P,Yes,,Yes,
C007710605,Yes,,No,
C007711025,No,,No,
C007711115,Yes,,,
C007711310,No,,No,
C007711315,No,,No,
C007711410,No,,No,
C007711420,Yes,,,
C007711425,No,,No,
C007711435,Yes,,,
C007711510,Yes,No,No,
C007711520,Yes,,No,
C007711615,Yes,,No,
C007711640,Yes,,No,
C007711705,Yes,,No,
C007711805,No,,No,
C007711810P,No,Yes,No,
C007711925,Yes,,No,
C007712015,No,,No,
C007713315P,Yes,,No,
C007713320,Yes,,,
C007713325,Yes,,,
C007713350,Yes,,,
C007721220,No,,Yes,
C007721225,No,,No,
C007721530,Yes,,,
C007721535,Yes,,,
C007721710,No,,No,
C007721717,No,No,No,
C007721720,Yes,,No,
C007721810,Yes,No,No,
C007721815,Yes,,No,
C007722025,Yes,,No,
C007722315P,Yes,,,
C007723320P,No,Yes,No,
C007730630,No,Yes,No,
C007731327,No,No,No,
C007731335,Yes,,No,
C007740715,No,,,
C007800305,No,,No,
C007800310,Yes,,No,
C007800315,No,,No,
C007800325,Yes,,Yes,
C007800330,No,,No,
C007800335,No,,,
C007800505P,Yes,,No,
C007800510,No,,No,
C007800605,Yes,,Yes,
C007800615,Yes,,No,
C007800710P,No,,No,
C007801105,Yes,,,
C007801110,Yes,,No,
C007801115,Yes,,,
C007801120,No,,,
C007801125,No,,No,
C007801130,Yes,,No,
C007801205,No,,No,
C007801210,Yes,,No,
C007801215,Yes,,No,
C007801220,No,,No,
C007801410,Yes,,No,
C007801415,Yes,,No,
C007801420,Yes,,No,
C007801425,Yes,,No,
C007801430,Yes,,No,
C007801440,No,,,
C007801505,Yes,,No,
C007801515,No,,No,
C007801520,No,No,No,
C007801610,Yes,,No,
C007801705,Yes,,Yes,
C007801705P,No,,No,
C007801710,No,,No,
C007801715,No,,No,
C007801720,Yes,,No,
C007801725,No,,No,
C007801805,No,,No,
C007801820,No,,No,
C007801825,Yes,,No,
C007801830,Yes,,Yes,
C007801840,Yes,,Yes,
C007801880,No,,,
C007801905,Yes,,No,
C007801905P,Yes,,No,
C007801910,Yes,,Yes,
C007802105,No,,No,
C007802110,Yes,,No,
C007802115,No,,,
C007802210,Yes,,Yes,
C007802215,Yes,,No,
C007802220,Yes,,No,
C007802225,Yes,,No,
C007802227,No,,,
C007802230,No,,No,
C007802240,No,,No,
C007802305,Yes,,No,
C007802310,Yes,No,No,
C007802315,Yes,,No,
C007802320,Yes,,No,
C007802325,No,,No,
C007802335,Yes,,No,
C007802340,Yes,,No,
C007802355,No,,Yes,
C007802360,Yes,,No,
C007802365,Yes,,No,
C007802405,Yes,,No,
C007802410,Yes,,No,
C007802415,No,,No,
C007802420,Yes,,No,
C007802435,Yes,,No,
C007802440,No,,No,
C007802445,No,,No,
C007802505,Yes,,No,
C007802510,Yes,,Yes,
C007802515,Yes,,No,
C007802520,No,No,No,
C007802525,Yes,,No,
C007802530,No,,No,
C007802535,Yes,,No,
C007802537,Yes,,,
C007802538,Yes,,,
C007802540,No,,No,
C007802545,No,,No,
C007802610,Yes,,No,
C007802615,Yes,,No,
C007802705,No,,No,
C007802705P,Yes,,No,
C007802710,No,,No,
C007802715,No,,No,
C007802805,No,,No,
C007802815,Yes,,No,
C007802905,Yes,,No,
C007802910,Yes,,No,
C007802920,No,,No,
C007802925,Yes,,,
C007803005,Yes,,No,
C007803010,Yes,,No,
C007803015,No,,No,
C007803025,Yes,,No,
C007803030,Yes,,,
C007803035,Yes,,,
C007803105,No,,No,
C007803110,Yes,,No,
C007803205P,Yes,,No,
C007803210,Yes,,,
C007803215,Yes,,No,
C007803220,Yes,No,No,
C007803222,Yes,,,
C007803225,No,,No,
C007803227,Yes,,,
C007803305,Yes,,No,
C007803435,Yes,,No,
C007803440,Yes,,No,
C007803445,Yes,,No,
C007803505,No,,No,
C007803505P,Yes,,No,
C007803510,No,,Yes,
C007803515,Yes,,No,
C007803520,Yes,,,
C007803605,No,,No,
C007803605P,Yes,,Yes,
C007803610,Yes,,,
C007803615,No,,No,
C007803620,No,,No,
C007803622,Yes,,No,
C007803625,Yes,,No,
C007803630,Yes,,No,
C007803635,Yes,,No,
C007803640,Yes,,No,
C007803645,No,,No,
C007803703,Yes,,,
C007803705,Yes,,,
C007803805,Yes,,Yes,
C007803815,Yes,,,
C007803905,Yes,Yes,No,
C007803915,Yes,,No,
C007804005,No,,No,
C007804005P,Yes,,No,
C007804105,Yes,,No,
C007804110,Yes,,,
C007804115,No,,Yes,
C007804120,Yes,,No,
C007804125,No,,No,
C007804127,Yes,,No,
C007804128,No,,No,
C007804129,No,,No,
C007804150,No,,,
C007804155,No,,,
C007804205,Yes,,No,
C007804207,Yes,,,
C007804303,Yes,,No,
C007804305,Yes,,No,
C007804305P,Yes,,No,
C007804315,Yes,,,
C007804320,No,,Yes,
C007804325,Yes,,No,
C007804330,Yes,,No,
C007804405,No,,No,
C007804425,Yes,,No,
C007804430,Yes,,No,
C007804432,Yes,,,
C007804445,Yes,,No,
C007804505,Yes,,No,
C007804615,No,,No,
C007804710P,Yes,,No,
C007804805,No,,No,
C007804905,Yes,,No,
C007804905P,Yes,,,
C007804910,Yes,,No,
C007805005,Yes,,No,
C007805005P,Yes,,No,
C007805210,Yes,,,
C007805215,Yes,,No,
C007805220,No,,No,
C007805225,Yes,,No,
C007805235,Yes,,No,
C007805250,No,,No,
C007805255,Yes,,No,
C007805260,No,,No,
C007805265,Yes,,No,
C007805270,Yes,,No,
C007805305,No,No,No,
C007805310,Yes,,No,
C007805310P,Yes,,No,
C007805315,Yes,,No,
C007805315P,Yes,,No,
C007805330,No,,No,
C007805335,Yes,,No,
C007805405,No,,No,
C007805410,No,,No,
C007805415,No,,No,
C007805417,Yes,,,
C007805430,Yes,,Yes,
C007805435,Yes,,No,
C007805440,Yes,,No,
C007805445,No,,No,
C007805450,Yes,,No,
C007805605,Yes,,No,
C007808594,Yes,,,
C007808633,Yes,,,
C007808992,Yes,,,
C007810335,Yes,No,No,
C007810405,Yes,,No,
C007810410,Yes,,No,
C007810520,Yes,,,
C007810525,Yes,,No,
C007810530,Yes,,No,
C007810535,Yes,,No,
C007810550,Yes,,No,
C007810562,Yes,,No,
C007810565,No,,No,
C007810567,Yes,,No,
C007810705,No,,No,
C007810805,Yes,,No,
C007810920,No,,No,
C007810925,Yes,,No,
C007810930,Yes,,No,
C007810935,Yes,,No,
C007810945,Yes,,No,
C007810960,No,,No,
C007811015,Yes,,No,
C007811025,No,,No,
C007811030,Yes,,Yes,
C007811035,Yes,No,No,
C007811165,Yes,,No,
C007811230,Yes,,No,
C007811305,Yes,,No,
C007811315,Yes,,No,
C007811320,No,,No,
C007811325,No,,No,
C007811330,No,,No,
C007811335,Yes,,,
C007811340,No,,No,
C007811345,No,,No,
C007811350,Yes,,No,
C007811360,Yes,,,
C007811530,No,,No,
C007811535,No,No,No,
C007811540,No,,No,
C007811545,No,,No,
C007811550,Yes,,No,
C007811555,Yes,,No,
C007811560,Yes,,No,
C007811730,No,,No,
C007811735,Yes,,No,
C007811740,No,,No,
C007811745,Yes,,No,
C007811750,Yes,,No,
C007811755,Yes,,No,
C007811760,Yes,,No,
C007811765,No,,No,
C007811770,Yes,,,
C007811845,Yes,,No,
C007811847,No,,,
C007811850,No,,No,
C007811855,Yes,,No,
C007812025,Yes,,,
C007812030,Yes,,No,
C007812035,Yes,,,
C007812040,Yes,,,
C007812045,Yes,,No,
C007812050,Yes,,No,
C007812120,No,,No,
C007812450,Yes,,No,
C007812453,No,,No,
C007812455,Yes,,No,
C007812460,No,,No,
C007812465,Yes,,No,
C007812630,No,,No,
C007812720,Yes,,No,
C007812725,No,,No,
C007812820,Yes,,,
C007812935,Yes,,No,
C007812940,Yes,,No,
C007813130,No,,No,
C007813135,No,,,
C007813230,Yes,,No,
C007813235,Yes,,No,
C007813237,No,,,
C007813240,Yes,,No,
C007813245,Yes,,No,
C007813315,No,,No,
C007813520,Yes,,No,
C007813525,Yes,,No,
C007813530,Yes,,No,
C007813650,Yes,,No,
C007813655,No,No,No,
C007813660,Yes,,,
C007813665,Yes,,No,
C007813670,No,,,
C007813710,Yes,,No,
C007813715,Yes,,No,
C007813720,Yes,,No,
C007813725,No,,No,
C007813820,No,,Yes,
C007814015,Yes,,No,
C007814020,No,,No,
C007814025,Yes,,No,
C007814030,Yes,,,
C007814035,Yes,,No,
C007814040,No,Yes,No,
C007814045,No,,No,
C007814050,Yes,,No,
C007814053,Yes,,,
C007814055,Yes,,,
C007814060,Yes,,No,
C007814065,No,,No,
C007814210,Yes,,,
C007814215,No,,No,
C007814220,Yes,,No,
C007814225,No,Yes,No,
C007814450,Yes,,Yes,
C007814455,Yes,,No,
C007814810,Yes,,,
C007814815,No,No,No,
C007814825,Yes,,No,
C007814827,Yes,,,
C007814830,No,,No,
C007814835,Yes,,Yes,
C007814840,No,,,
C007814910P,Yes,,Yes,
C007815010,No,,No,
C007815015,Yes,,No,
C007815020,Yes,,No,
C007815025,Yes,,No,
C007815030,No,,No,
C007815040,Yes,,No,
C007815045,Yes,,,
C007815050,Yes,,Yes,
C007815055,Yes,,No,
C007815060,No,,No,
C007815105,No,,No,
C007815105P,No,,No,
C007815115,Yes,Yes,No,
C007815273,Yes,Yes,No,
C007815275,Yes,,No,
C007815610,Yes,,No,
C007815625,Yes,,No,
C007815640,Yes,,No,
C007815720,Yes,,,
C007820110,Yes,,No,
C007820115,Yes,,No,
C007820120,Yes,,No,
C007820125,Yes,,,
C007820710,Yes,,No,
C007820715,Yes,,No,
C007820720,Yes,,No,
C007820730,No,,No,
C007820735,Yes,,No,
C007820740,Yes,,Yes,
C007820745,Yes,,No,
C007821235,Yes,,No,
C007821240,No,,,
C007821370,Yes,,No,
C007821610,Yes,,,
C007821615,No,,No,
C007821620,Yes,,No,
C007821625,Yes,,No,
C007821630,Yes,,No,
C007821635,Yes,Yes,No,
C007821640,No,,,
C007821775,Yes,,No,
C007821925,Yes,,No,
C007821930,Yes,,No,
C007821935,Yes,,No,
C007821940,Yes,,No,
C007821945,Yes,,No,
C007821950,Yes,No,No,
C007821955,Yes,,No,
C007822135,Yes,,No,
C007822140,Yes,,No,
C007822145,Yes,,No,
C007822150,Yes,,No,
C007822640,No,,No,
C007822645,Yes,,No,
C007822830,Yes,,No,
C007822835,Yes,,No,
C007822836,Yes,,No,
C007822837,Yes,,No,
C007822840,Yes,,No,
C007822843,Yes,,,
C007822845,Yes,,,
C007823125,Yes,,,
C007823670,No,,No,
C007823680,No,,,
C007823920,No,,No,
C007824260,Yes,,No,
C007824265,Yes,,No,
C007824270,Yes,,No,
C007824460,Yes,,No,
C007824510,Yes,,No,
C007824515,No,,No,
C007824620,No,,No,
C007824625,Yes,,No,
C007824630,Yes,,No,
C007824640,Yes,,No,
C007824645,No,,No,
C007824655,Yes,,No,
C007824660,No,,No,
C007824665,No,,,
C007824705,Yes,,No,
C007824710,Yes,,,
C007824715,Yes,,,
C007824720,No,,No,
C007824725,Yes,,,
C007824920,Yes,,,
C007824925,Yes,,Yes,
C007824930,Yes,,No,
C007824935,Yes,,No,
C007824945,Yes,,No,
C007825120,No,,No,
C007825125,Yes,,No,
C007825135,Yes,,No,
C007825725,Yes,,No,
C007830750,Yes,No,No,
C007832650,Yes,,No,
C007832655,Yes,,No,
C007832660,Yes,,No,
C007832665,No,,No,
C007832670,Yes,,No,
C007833825,Yes,,No,
C007833830,Yes,,No,
C007835510,Yes,,No,
C007835520,Yes,,No,
C007842675,No,,No,
C007842680,Yes,,No,
C007843840,Yes,,No,
C007850130,Yes,,No,
C007850135,Yes,,No,
C007852685,Yes,,No,
C007900105,No,No,No,
C007900205,No,No,No,
C007900210,Yes,,No,
C007900213,Yes,,Yes,
C007900605,Yes,,,
C007900715,No,,No,
C007900805,No,,Yes,
C007901205P,Yes,,No,
C007901305,Yes,,,
C007901315,Yes,,,
C007901320,Yes,,,
C007901325,No,,Yes,
C007901405,Yes,,No,
C007901410,No,,No,
C007901415,No,,No,
C007901420,No,,No,
C007901425,No,,No,
C007901430,No,,Yes,
C007901610,No,,No,
C007901613,Yes,,,
C007901620,No,,No,
C007901635,Yes,,,
C007901905,No,,No,
C007902032,Yes,,,
C007902205P,No,Yes,No,
C007902210,Yes,,No,
C007902215,Yes,,No,
C007902220,No,,No,
C007902405,No,,No,
C007902505,Yes,,Yes,
C007902720,Yes,,,
C007902805,No,,Yes,
C007902805P,Yes,,No,
C007902905,No,,No,
C007903105,No,,No,
C007903305,No,,No,
C007903410,No,,Yes,
C007903415,No,,Yes,
C007903420,No,,No,
C007903505,No,,No,
C007903610,Yes,,No,
C007903705,No,,No,
C007903705P,No,,No,
C007903707,Yes,,No,
C007903710,No,,No,
C007903905,No,,Yes,
C007903910,Yes,,Yes,
C007904305P,Yes,,,
C007904505,No,,Yes,
C007904510,Yes,,No,
C007904513,Yes,,,
C007904514,Yes,,No,
C007904705,No,,Yes,
C007905905,No,,No,
C007906115,No,,No,
C007906120,No,,No,
C007906705P,Yes,,No,
C007906710P,Yes,,No,
C007910305,Yes,,No,
C007910315,Yes,,No,
C007910320,No,,No,
C007910325,Yes,,No,
C007910330,Yes,,No,
C007910405,Yes,,No,
C007910410,Yes,,No,
C007910415,Yes,,No,
C007910505,Yes,,No,
C007910810,Yes,Yes,Yes,
C007910810P,No,Yes,No,
C007910815,No,Yes,Yes,
C007910825,No,,No,
C007910905,Yes,,,
C007910915,No,,No,
C007910920,No,,No,
C007911005,Yes,,No,
C007911020P,Yes,,No,
C007911105,No,,Yes,
C007911205,No,,No,
C007911208P,No,,,
C007911210,No,,No,
C007911210P,Yes,,,
C007911211,No,,,
C007911215P,Yes,,No,
C007911445,Yes,,,
C007911450,No,,Yes,
C007911505,Yes,,,
C007911507,Yes,,,
C007911510,No,,No,
C007911705,No,,No,
C007911710,No,,No,
C007911810,Yes,,,
C007911910,Yes,,,
C007912005,No,,Yes,
C007912105,Yes,,No,
C007912305,No,,No,
C007912315,No,,Yes,
C007912915,Yes,,,
C007913005,No,,No,
C007913115,Yes,,,
C007913205,Yes,,,
C007913210,Yes,,,
C007913215,Yes,Yes,No,
C007913615,No,,No,
C007913810,No,,No,
C007913913,No,,No,
C007913915,No,,Yes,
C007913920,No,No,No,
C007914320,No,,No,
C007914325,Yes,,No,
C007914330,Yes,,No,
C007914515,Yes,,,
C007914520,Yes,,No,
C007914526,Yes,,,
C007915110,No,Yes,Yes,
C007915510,No,,No,
C007915715,No,,No,
C007915720,No,Yes,No,
C007915725,No,,No,
C007916510,Yes,,No,
C007916515,Yes,,Yes,
C007916520,Yes,,,
C007916525,No,,No,
C007916530,Yes,,No,
C007916535,Yes,,,
C007916705,No,,No,
C007916710,Yes,,Yes,
C007916715,No,,No,
C007917110,No,Yes,No,
C007917115,Yes,,,
C007920515,Yes,,No,
C007920520,No,,No,
C007921010,No,,No,
C007921015,No,,No,
C007921340,No,,No,
C007921715,No,,No,
C007921820,Yes,,,
C007921915,No,,No,
C007922320,No,,No,
C007922325,No,,No,
C007922515,No,,No,
C007922815L,Yes,,No,
C007922815R,No,No,No,
C007923010,No,No,No,
C007923015,Yes,,No,
C007923117,No,,No,
C007923120,No,,No,
C007923310,No,,Yes,
C007923425,Yes,,Yes,
C007923520,No,,No,
C007924715,No,,No,
C007925310,No,,Yes,
C007925320,Yes,,,
C007925515,Yes,,,
C007925910,Yes,,No,
C007926905,No,,Yes,
C007926910,No,,Yes,
C007930615,No,,No,
C007930825,No,,No,
C007931115,Yes,,,
C007931610P,Yes,,No,
C007931615P,No,,No,
C007931640,Yes,,No,
C007932410,No,,No,
C007932415,No,,Yes,
C007932920,No,,No,
C007933230,Yes,,,
C007933720,No,,No,
C007933725,Yes,No,No,
C007933730,Yes,,No,
C007934910,No,,No,
C007934915,No,,No,
C007934920,No,,No,
C007940830,No,,Yes,
C007941455,No,Yes,Yes,
C007941460,Yes,,,
C007941465,Yes,,,
C007941467,Yes,,No,
C007941468,Yes,No,No,
C007941475,Yes,,,
C007942010,No,,No,
C007942015,No,,No,
C007942020,Yes,,,
C007942225,Yes,,No,
C007942230,Yes,,,
C007942235,No,,No,
C007942420,No,,No,
C007943020,No,,No,
C007944330,No,,No,
C007946305,No,,Yes,
C007950620,Yes,,,
C007950625,No,,No,
C007951215,Yes,,No,
C007951825,Yes,,No,
C007951830,No,,Yes,
C007951835,Yes,,,
C007961220,No,,Yes,
C007961225,Yes,,,
C007961230,Yes,,,
C007961235,Yes,,,
C007972610,No,,Yes,
C008000105,Yes,,No,
C008000120,No,,No,
C008000210,Yes,,No,
C008000225,Yes,,,
C008000240,Yes,,,
C008000305,Yes,,No,
C008000310,No,,No,
C008000315,No,,No,
C008000320,Yes,,No,
C008000325,Yes,,,
C008000505,Yes,,,
C008000505P,No,,No,
C008000602,Yes,,,
C008000603,Yes,,,
C008000605,Yes,,,
C008000610,Yes,,No,
C008000705,Yes,,,
C008000805,Yes,,,
C008000810,Yes,,,
C008000815,Yes,,,
C008000820,Yes,,No,
C008001005,Yes,,,
C008001007,Yes,,,
C008001010,Yes,,,
C008001017,Yes,,,
C008001018,Yes,,,
C008001020,No,,No,
C008001105,Yes,,No,
C008001115,Yes,,No,
C008001205,Yes,,No,
C008001210,Yes,,No,
C008001215,Yes,,No,
C008001220,Yes,,,
C008001305,Yes,,No,
C008001308,Yes,,,
C008001310,Yes,,No,
C008001315,Yes,,,
C008001320,Yes,,,
C008001402,Yes,,,
C008001405,No,,No,
C008001410,Yes,,No,
C008001505,Yes,,No,
C008001508,Yes,,,
C008001510,Yes,,No,
C008001515,Yes,,No,
C008001705,Yes,,No,
C008001710,Yes,No,No,
C008001715,Yes,,,
C008001720,Yes,,No,
C008001725,Yes,,No,
C008001730,Yes,,,
C008001735,Yes,,,
C008001805,Yes,,,
C008001810,Yes,,No,
C008001815,Yes,,No,
C008001820,No,,No,
C008001905,Yes,,No,
C008001910,Yes,,,
C008002003,Yes,,,
