structureNumber,flowChartResult,randomForest,NDOTResult
C000501505P,No,,No,
C000501705P,Yes,Yes,No,
C000502105,Yes,,No,
C000502405,Yes,,No,
C000502705,No,,No,
C000503105,Yes,,,
C000503105P,Yes,,No,
C000503515,No,Yes,Yes,
C000504405P,Yes,,No,
C000505905,Yes,No,No,
C000511905,No,,Yes,
C000600305,No,,No,
C000600405,Yes,Yes,Yes,
C000600505,Yes,,Yes,
C000600605P,Yes,,,
C000600705,Yes,,No,
C000600715,Yes,,Yes,
C000600805,No,,No,
C000600810,No,,No,
C000600820,Yes,,,
C000600825,Yes,,No,
C000600830,No,,No,
C000600905,Yes,,No,
C000601005,Yes,,No,
C000601005P,Yes,,No,
C000601010,Yes,,No,
C000601405,Yes,,No,
C000601410,Yes,,No,
C000601415,No,,No,
C000601505,Yes,,No,
C000601905P,Yes,,No,
C000602105P,Yes,,No,
C000602205P,Yes,,No,
C000602305P,Yes,,No,
C000602310,Yes,,Yes,
C000602405,Yes,,No,
C000602505,No,No,No,
C000602510,Yes,,No,
C000602515,Yes,,Yes,
C000602520,Yes,,No,
C000602705,Yes,,No,
C000602710,No,,No,
C000602715,Yes,,,
C000602805,Yes,,,
C000602810,Yes,,No,
C000602815,Yes,No,No,
C000602825,Yes,,No,
C000602905,Yes,,No,
C000603005,Yes,,No,
C000603105,Yes,,No,
C000603105P,No,,No,
C000603110,Yes,,No,
C000603120,Yes,,No,
C000603405P,Yes,,No,
C000603505,Yes,,No,
C000603600,Yes,,,
C000603605P,Yes,,No,
C000603610,Yes,,No,
C000603705P,Yes,,No,
C000603905P,Yes,,No,
C000603910,Yes,,No,
C000603925,Yes,,No,
C000604105,Yes,,No,
C000604110,Yes,,No,
C000604205P,Yes,,No,
C000604305,Yes,,No,
C000604305P,Yes,,No,
C000604505,Yes,,,
C000604505P,Yes,,No,
C000604510P,Yes,,No,
C000604515P,Yes,,No,
C000604520P,Yes,,,
C000604705,Yes,,No,
C000604710,Yes,,No,
C000604715,Yes,,No,
C000605005P,No,,Yes,
C000605015P,No,,No,
C000605205,Yes,,No,
C000605220,Yes,,,
C000610605,No,,No,
C000610610,Yes,,No,
C000611015,No,,No,
C000611215,Yes,,No,
C000611310,Yes,,,
C000611320,Yes,,No,
C000611330,Yes,,No,
C000611420,Yes,,,
C000611710,Yes,,No,
C000611710P,Yes,,No,
C000611805,Yes,No,No,
C000611810,Yes,,,
C000611815,Yes,,No,
C000612020,Yes,,No,
C000612210,Yes,,No,
C000612215,Yes,,No,
C000612310P,Yes,,No,
C000612320,Yes,,No,
C000612530,Yes,,,
C000612605,Yes,,No,
C000612713,Yes,,No,
C000612830,No,,No,
C000613005P,Yes,,No,
C000613015,Yes,,No,
C000613330,Yes,,No,
C000613510,Yes,,No,
C000613710,Yes,,No,
C000613925,Yes,,,
C000613930,Yes,,No,
C000614005,Yes,,No,
C000614115,Yes,,No,
C000614120,Yes,,No,
C000614205,No,,,
C000614210,Yes,,,
C000614230,No,,No,
C000614245,Yes,,No,
C000614310,No,,Yes,
C000614510,Yes,,,
C000614517,Yes,,,
C000614520,Yes,,No,
C000614528,Yes,,No,
C000614605P,Yes,,,
C000614720,Yes,,No,
C000614725,Yes,No,No,
C000614730,Yes,,No,
C000615225,Yes,,No,
C000615230,Yes,,No,
C000615605,Yes,,No,
C000615607,Yes,,No,
C000615615,Yes,,No,
