,BIR_PRJD_ITEM_008,BIR_PRJD_RT_008A,BIR_PRJD_ORIG_PLN,BIR_PRJD_OVERLAY,BIR_PRJD_CURB,BIR_PRJD_DEV_RPAR,BIR_PRJD_WIDENING,BIR_PRJD_PAINTING,BIR_PRJD_SHOP_PLN,BIR_PRJD_OTHER,BIR_PRJD_RE_DECK,BIR_PRJD_FORM_PRJ,BIR_PRJD_DSGN_CLS,BIR_PRJD_YEAR
1589,S015 15876,1,Y,,,,,,,,,UNKNOWN,,1937.0
1590,S015 15876,2,Y,,,,,,,,,F-70(17)-3C,,1968.0
1591,S015 15876,3,,,,,,,,Y,,F-15-4(1007),,1987.0
1592,S015 16139,1,Y,,,,,,,,,70-B-2,H15,1937.0
1593,S015 16139,2,,,,,Y,,,,,F-70-A-1,H15,1970.0
1594,S015 16139,3,,,,,,,Y,,,8988,,
1595,S015 16139,4,,,,,,,Y,,,10682,,
1596,S015 16139,5,,,Y,,,,,,,F-15-4(1007)-4C,,1987.0
1597,S015 16362,1,Y,,,,,,,,,F-70-D-2C,HS20,1972.0
1598,S015 16369,1,Y,,,,,,,,,F-70-D-1C,HS20,1972.0
1599,S015 16384,1,Y,,,,,,,,,F-70(19)-1,HS20,1967.0
1600,S015 16384,2,,,,,,,Y,,,10610,,
1601,S015 16384,3,,,Y,,,,,,,F-15-4(1007)-3C,,1987.0
1602,S015 16384,4,,,,,,,,Y,,MISC-15-4(1013),,1991.0
1603,S015 16384,5,,,,,,,Y,,,12255,,
1604,S015 16384,6,,,,,,,,Y,,STPD-15-4(115),,2006.0
1605,S015 16632,1,Y,,,,,,,,,F-BRF-15-4(103)-1,HS20,1980.0
1606,S015 16632,2,,,,,,,Y,,,11218,,1981.0
1607,S015 16632,3,,,,,,,,Y,,F-15-4(1009),,1989.0
1608,S015 16632,4,,,,,,,Y,,,11901,,
1609,S015 16632,5,,,,,,,,Y,,STPD-15-4(114)-2C,,1999.0
1610,S015 16714,1,Y,,,,,,,,,4(3)-1C,T20,1938.0
1611,S015 16714,2,,,,,,,,Y,,F-BRF-15-4(103)-2C,HS20,1980.0
1612,S015 16967,1,Y,,,,,,,,,F-BRF-15-4(103)-4C,HS20,1980.0
1613,S015 17224,1,Y,,,,,,,,,F-BRF-15-4(103)-6C,HS20,1980.0
1614,S015 17514,1,Y,,,,,,,,,4(3)-2,H15,1938.0
1615,S015 17514,2,,,,,,,Y,,,9176,,
1616,S015 17514,3,,Y,,,,,,,,BHF-15-4(105)-1,H-20,1982.0
1617,S015 17514,4,,,,,,,Y,,,11339,,1982.0
1618,S015 17620,1,Y,,,,,,,,,4(3)-3,H15,1938.0
1619,S015 17620,2,,,,,,,Y,,,9175,,
1620,S015 17620,3,,,,,Y,,,,,BHF-15-4(105)-2,H-20,1982.0
1621,S015 17620,4,,,,,,,Y,,,11339,,1982.0
1622,S015 17620,5,,,,,,,,Y,,STR-15-4(1014),HS20,1992.0
1623,S015 17763,1,Y,,,,,,,,,UNKNOWN,H15,1939.0
1624,S015 17763,2,,,,,,,,Y,,F-15-4(1001)-1306,,1990.0
1625,S015 18571,1,Y,,,,,,,,,STPD-BR-57-4(110)-1,HS25,2001.0
1626,S015 18694,1,Y,,,,,,,,,S-57-4(1001)-2C,HS20,1977.0
1627,S015 19035,1,Y,,,,,,,,,RS-57-4(1001)-4C,HS20,1977.0
1628,S015 19224,1,Y,,,,,,,,,STPD-BR-57-4(110)-2,HS25,2001.0
1629,S015 20510R,1,Y,,,,,,,,,UNKNOWN,,1965.0
1630,S016 00206,1,Y,,,,,,,,,UNKNOWN,,
1631,S016 00206,2,,,,,,,,Y,,S-302(5)-2C,H15,1944.0
1632,S016 00467,1,Y,,,,,,,,,F-302(5),H15,1948.0
1633,S016 00624,1,Y,,,,,,,,,F-302(5)-2,H15,1945.0
1634,S016 00624,2,,,,,,,Y,,,9411,,
1635,S016 00747,1,Y,,,,,,,,,302-D(1),H15,1938.0
1636,S016 00747,2,,,,,,,Y,,,9110,,
1637,S016 00946,1,Y,,,,,,,,,EACSTPD-16-3(103_1,HS25,2002.0
1638,S016 01019,1,Y,,,,,,,,,F-302(5)-1C,T20,1945.0
1639,S016 01058,1,Y,,,,,,,,,F-302(5),H15,1948.0
1640,S016 01408,1,Y,,,,,,,,,724-B-3,H10,1934.0
1641,S016 01408,2,,,,,,,Y,,,8794,,
1642,S016 01408,3,,,,,Y,,,,,S-396(7)-6,H15,1970.0
1643,S016 01408,4,,,,,,,Y,,,10687,,
1644,S016 01687,1,Y,,,,,,,,,70-B-2,H15,1937.0
1645,S016 01687,2,,,,,Y,,,,,F-70-A-1,H15,1970.0
1646,S016 01687,3,,,,,,,Y,,,8988,,
1647,S016 01687,4,,,,,,,Y,,,10682,,
1648,S016 01818,1,Y,,,,,,,,,724-B-1,H10,1934.0
1649,S016 01818,2,,,,,,,Y,,,8795,,
1650,S016 01818,3,,,,,Y,,,,,S-396(7)-4,H15,1970.0
1651,S016 01818,4,,,,,,,Y,,,10687,,
1652,S016 01890,1,Y,,,,,,,,,S-396(7)-3,HS20,1970.0
1653,S016 01890,2,,,,,,,Y,,,10687,,
1654,S016 01962,1,Y,,,,,,,,,S-396(3),,1965.0
1655,S016 01962,2,,,,,,,,Y,,F-16-3(1002)STD 1208,HS20,1995.0
1656,S016 02255,1,Y,,,,,,,,,F-16-3(1002)-2,HS25,1995.0
1657,S016 02444B,1,Y,,,,,,,,,F-16-3(1002)-2C,HS20,1995.0
1658,S016 02454,1,Y,,,,,,,,,S-396(12),H15,1963.0
1659,S016 02736,1,Y,,,,,,,,,F-16-3(1002)-1,HS25,1995.0
1660,S017 00596,1,Y,,,,,,,,,BRS-17-1(102)-2C,HS20,1985.0
1661,S017 00782,1,Y,,,,,,,,,RS-BRS-17-1(103)-1,HS20,1981.0
1662,S017 00782,2,,,,,,,Y,,,11245,,
1663,S017 00782,3,,,,,,,,Y,,17(7.82,,1982.0
1664,S017 01741,1,Y,,,,,,,,,BRS-17-1(104),HS20,1979.0
1665,S017 01741,2,,,,,,,Y,,,11139,,
1666,S017 01741,3,,,,,,,,Y,,17(17.41),,1982.0
1667,S017 01741,4,,Y,,Y,,,,Y,,STR-17-1(1002)-1C,,2008.0
1668,S017 01780,1,Y,,,,,,,,,S-167(A)-1,H15,1959.0
1669,S017 01780,2,,,,,,,Y,,,10077,,
1670,S017 01780,3,,,,,,,,Y,,17(017.80),,
1671,S017 01780,4,,,,,,,,Y,Y,EACSTPD-17-1(105)-1,HS25,1995.0
1672,S018 00036,1,Y,,,,,,,,,FAS-420(3)-1,H 15,1945.0
1673,S018 00036,2,,,,,,,Y,,,9469,,
1674,S018 00036,3,,,,,,,,Y,,ER-S12(3)-1R,H 15,1949.0
1675,S018 00036,4,,,,,,,Y,,,9349,,
1676,S018 00110,1,Y,,,,,,,,,FAS-176(2)-1C,H 15,1945.0
1677,S018 00110,2,,,,,,,,Y,,S-176(6)-1C,H 15,1965.0
1678,S018 01063,1,Y,,,,,,,,,ER-4-1,H 15,1935.0
1679,S018 01063,2,,,,,,,Y,,,8889,,
1680,S018 01063,3,,,,,,Y,,Y,,ER-S-12(4)-1,H 15,1948.0
1681,S018 01063,4,,,,,,,Y,,,9441,,
1682,S018 01063,5,,,,,,,,Y,,STPD-BRS-18-2(101)2C,,1993.0
1683,S018 01130,1,Y,,,,,,,,,STPD-BRS-18-2(101)-4C,HS20,1993.0
1684,S018 01233,1,Y,,,,,,,,,STPD-BRS-18-2(101)STD1208,HS20,1993.0
1685,S018 01472,1,Y,,,,,,,,,STPD-BRS-18-2(101)-1,HS20,1993.0
1686,S018 01472,2,,,,,,,Y,,,12272,,
1687,S018 01556,1,Y,,,,,,,,,SA-244-7,T 20,1926.0
1688,S018 01779,1,Y,,,,,,,,,RS-239-2(104)-1C,,1979.0
1689,S018 01779,2,,,,,,,Y,,,NOT AVAILABLE,,
1690,S018 02083,1,Y,,,,,,,,,SP-244-5,T 20,1925.0
1691,S018 02451,1,Y,,,,,,,,,EACSTPD-EACBR-18-2(110)-1,HS25,2003.0
1692,S018 02982,1,Y,,,,,,,,,F-46(7)-1,H-15,1949.0
1693,S018 02982,2,,,,,,,Y,,,9492,,
1694,S018 03092,1,Y,,,,,,,,,EACSTPD-EACBR-18-2(110)2C,HS20,2003.0
1695,S018 03360,1,Y,,,,,,,,,EACSTPD-EACBR-18-2(110)-3,HS25,2003.0
1696,S018 03499,1,Y,,,,,,,,,EACSTPD-EACBR-18-2(110)-5,HS25,2003.0
1697,S018 03638,1,Y,,,,,,,,,EACSTPD-EACBR-18-2(110)3C,HS20,2003.0
1698,S018 03878,1,Y,,,,,,,,,RS-239-2(105),H20,1982.0
1699,S018 03878,2,,,,,,,Y,,,11362,,
1700,S019 00187,1,Y,,,,,,,,,STD PLAN 1811-F-3,H15,1940.0
1701,S019 00187,2,,,,,,,,Y,,F-19-2(1002)-1C&STD1305,HS20,1993.0
1702,S019 00284,1,Y,,,,,,,,,STD PLAN 1811-F-3,H15,1940.0
1703,S019 00284,2,,,,,,,,Y,,F-19-2(1002)-1C&STD1305,HS20,1993.0
1704,S019 00477,1,Y,,,,,,,,,130-B(3)-1C,T20,1939.0
1705,S019 00477,2,,,,,,,,Y,,F-19-2(1002)-1C&STD1308,HS20,1993.0
1706,S019 01013,1,Y,,,,,,,,,S-30-1(103)-2,HS20,1973.0
1707,S019 01013,2,,,,,,,Y,,,10822,,
1708,S019 01013,3,,,Y,,,,,,,RD-19-2(1004)-1C,,1996.0
1709,S019 01013,4,,Y,,,,,,,,STR-19-2(1005)-1C,,2007.0
1710,S019 01073,1,Y,,,,,,,,,S-30-1(103)-1,HS20,1973.0
1711,S019 01073,2,,,,,,,Y,,,10822,,
1712,S019 01073,3,,,Y,,,,,,,RD-19-2(1004)-2C,,1996.0
1713,S019 01073,4,,Y,,,,,,,,STR-19-2(1006)-1C,,2007.0
1714,S020 00938,1,Y,,,,,,,,,45-D,H15,1940.0
1715,S020 03179,1,Y,,,,,,,,,45-D-1,H15,1932.0
1716,S020 03179,2,,,,,,,Y,,,8613,,
1717,S020 03179,3,,,,,Y,,,,,BHF-20-1(113)-1,HS20,1985.0
1718,S020 03179,4,,,,,,,Y,,,11573,,1985.0
1719,S020 03179,5,,,Y,,,,,,,S-20-1(1024)-1C,,2003.0
1720,S020 03405,1,Y,,,,,,,,,45-D-2,H15,1932.0
1721,S020 03405,2,,,,,,,Y,,,8629,,
1722,S020 03405,3,,,,,Y,,,,,BHF-20-1(113)-2,HS20,1985.0
1723,S020 03405,4,,,,,,,Y,,,11573,,1985.0
1724,S020 03405,5,,,Y,,,,,,,S-20-1(1024)-2C,,2003.0
1725,S020 03405,6,,,,,,,,Y,,STR-20-1(1035)-2,,2009.0
1726,S020 03426,1,Y,,,,,,,,,F-20-1(1005)STD 1309,HS20,1985.0
1727,S020 03558,1,Y,,,,,,,,,WPGH-265-E-1,H15,1935.0
1728,S020 03558,2,,,,,,,Y,,,8861,,
1729,S020 03558,3,,,,,,,,Y,,F-BHF-20-1(117)-1,HS20,1990.0
1730,S020 03558,4,,,,,,,Y,,,12057,,
1731,S020 03558,5,,,,,,,,Y,,STR-20-1(1035)-3,,2009.0
1732,S020 03708,1,Y,,,,,,,,,F-265(12)-1,,1959.0
1733,S020 03708,2,,,,,Y,,,Y,,NH-20-1(130)-1,HS25,1995.0
1734,S020 03759,1,Y,,,,,,,,,F-265(12)-2,HS20,1959.0
1735,S020 03759,2,,,,,,,Y,,,10048,,
1736,S020 03759,3,,Y,,,Y,,,,,NH-20-1(130)-2,HS20,1995.0
1737,S020 04527,1,Y,,,,,,,,,F-265(13)-1,HS25,1961.0
1738,S020 04527,2,,,,,,,Y,,,10281,,
1739,S020 04527,3,,,,,Y,,,,,NH-20-1(133)-1,MS18,1997.0
1740,S020 04813,1,Y,,,,,,,,,F-265(13)-2,HS20,1961.0
1741,S020 04813,2,,,,,,,Y,,,10281,,
1742,S020 04813,3,,,,,Y,,,,,NH-20-1(133)-2,MS18,1997.0
1743,S020 05050,1,Y,,,,,,,,,F-265(13)-3,HS20,1961.0
1744,S020 05050,2,,,,,,,Y,,,10281,,
1745,S020 05050,3,,,,,Y,,,,,NH-20-1(133)-3,MS18,1997.0
1746,S020 05242,1,Y,,,,,,,,,F-265(13)-4,HS20,1961.0
1747,S020 05242,2,,,,,,,Y,,,10281,,
1748,S020 05242,3,,,,,,Y,,,,20(52.42),,1978.0
1749,S020 05242,4,,,,,Y,,,,,NH-20-1(133)-4,MS22,1997.0
1750,S020 05559,1,Y,,,,,,,,,F-265(13)-5,HS20,1961.0
1751,S020 05559,2,,,,,,,Y,,,10281,,
1752,S020 05559,3,,,,,,Y,,,,20(55.59),,1978.0
1753,S020 05559,4,,,,,Y,,,,Y,NH-20-1(133)-5,MS22,1997.0
1754,S020 05866,1,Y,,,,,,,,,265-A-2,H15,1950.0
1755,S020 06119,1,Y,,,,,,,,,UNKNOWN,,1952.0
1756,S020 06119,2,,,,,,,,Y,,F-20-1(115)STD 1208-2C,,1992.0
1757,S020 06284,1,Y,,,,,,,,,F-20-1(115)-5C,HS20,1992.0
1758,S020 06720,1,Y,,,,,,,,,F-124(8),H15,1949.0
1759,S020 06720,2,,,,,,,,Y,,F-20-1(115)STD 1210-2C,,1992.0
1760,S020 07058,1,Y,,,,,,,,,F-124(8)-2C,H15,1949.0
1761,S020 07058,2,,,,,,,,Y,,F-20-1(115)-3C-7C,,1992.0
1762,S020 07191,1,Y,,,,,,,,,UNKNOWN,H15,1957.0
1763,S020 07191,2,,,,,,,,Y,,STD PLAN 1822-A3-R2,,
1764,S020 07191,3,,,,,,,,Y,,NH-20-1(126)-1CAND2C,HS20,1999.0
1765,S020 07896,1,Y,,,,,,,,,136-B(2)-3,H15,1938.0
1766,S020 07896,2,,,,,Y,,,,,F-136(11)-3,H20,1961.0
1767,S020 07896,3,,,,,,,Y,,,9153,,
1768,S020 07896,4,,,,,,,Y,,,10273,,
1769,S020 07896,5,,,Y,,,,,,,NH-20-1(132)-4C,,1996.0
1770,S020 07896,6,,,,,,,,Y,,EACNH-20-1(127)-1C,,2005.0
1771,S020 08037,1,Y,,,,,,,,,FAGH-108-A-3,H15,1937.0
1772,S020 08037,2,,,,,,,Y,,,9032,,
1773,S020 08037,3,,,,,Y,,,,,F-108(13)-2,H15,1962.0
1774,S020 08037,4,,,,,,,Y,,,10341,,
1775,S020 08037,5,,,Y,,,,,,,NH-20-1(132)-5C,,1996.0
1776,S020 08037,6,,,,,,,,Y,,EACNH-20-1(127)-2C,,2005.0
1777,S020 08125,1,Y,,,,,,,,,NH-20-1(132)-6C,HS20,1996.0
1778,S020 08350,1,Y,,,,,,,,,FA-108-A,,
1779,S020 08350,2,,,,,,,,Y,,F-108(13),H15,1962.0
1780,S020 08350,3,,,,,,,,Y,,STD PLAN 1822-A2-R2,,
1781,S020 08350,4,,,,,,,,Y,,F-20-1(106)-6C,HS20,1977.0
1782,S020 08523,1,Y,,,,,,,,,FA-108-A,,
1783,S020 08523,2,,,,,,,,Y,,F-108(13),H15,1962.0
1784,S020 08523,3,,,,,,,,Y,,STD PLAN 1822-A3-R2,,
1785,S020 08523,4,,,,,,,,Y,,EACNH-20-1(127)-3C,,2005.0
1786,S020 08691,1,Y,,,,,,,,,WPH-108-A-1C,T20,1935.0
1787,S020 08691,2,,,,,,,,Y,,F-108(13)-1C,T20,1962.0
1788,S020 08780,1,Y,,,,,,,,,FA-108-A,,
1789,S020 08780,2,,,,,,,,Y,,F-108(13),T20,1962.0
1790,S020 08780,3,,,,,,,,Y,,STD PLAN 1822-A3-R2,,
1791,S020 08780,4,,,,,,,,Y,,F-20-1(106)-12C,HS20,1977.0
1792,S020 08853,1,Y,,,,,,,,,FA-1-8-A,,
1793,S020 08853,2,,,,,,,,Y,,F-108(13),H15,1962.0
1794,S020 08853,3,,,,,,,,Y,,STD PLAN 1822-A3-R2,,
1795,S020 08993,1,Y,,,,,,,,,NH-20-1(132)-1,MS22,1996.0
1796,S020 10040,1,Y,,,,,,,,,S-108(14)-1C,,1968.0
1797,S020 10652,1,Y,,,,,,,,,202-B-1,H15,1937.0
1798,S020 10652,2,,,,,,,Y,,,8993,,
1799,S020 10652,3,,,,,Y,,,,,F-202(27)-1,HS20,1970.0
1800,S020 10652,4,,,,,,,Y,,,10718,,
1801,S020 10652,5,,,Y,,,,,,,F-20-1(1007)-1C,,1986.0
1802,S020 10652,6,,,Y,,,,,,,RD-20-1(1028)-1C,,2007.0
1803,S020 10699,1,Y,,,,,,,,,F-202(27)-2,HS20,1970.0
1804,S020 10699,2,,,,,,,Y,,,10718,,
1805,S020 10699,3,,,Y,,,,,,,F-20-1(1007)-1C,,1986.0
1806,S020 10699,4,,,Y,,,,,,,RD-20-1(1028)-2C,,2007.0
1807,S020 10818,1,Y,,,,,,,,,202-B,T20,1937.0
1808,S020 10818,2,,,,,,,,Y,,STD PLAN 1811-C,,
1809,S020 10818,3,,,,,,,,Y,,F-202(27),T20,1970.0
1810,S020 10818,4,,,,,,,,Y,,STD PLAN 1822-A3-R2,,
1811,S020 10818,5,,,Y,,,,,,,F-20-1(1007)-1C,,1986.0
1812,S020 10818,6,,,,,,,,Y,,RD-20-1(1028)-4C,SH20,2007.0
1813,S020 10881,1,Y,,,,,,,,,202-B,T20,1937.0
1814,S020 10881,2,,,,,,,,Y,,STD PLAN 1811-C,,
1815,S020 10881,3,,,,,,,,Y,,F-202(27)-2C,,1970.0
1816,S020 11095,1,Y,,,,,,,,,202-B-3,T20,1937.0
1817,S020 11095,2,,,,,,,,Y,,F-202(27)-4C,HS20,1970.0
1818,S020 11095,3,,,,,,,Y,,,8990,,
1819,S020 11095,4,,,Y,,,,,,,F-20-1(1007)-1C,,1986.0
1820,S020 11095,5,,,,,,,,Y,,RD-20-1(1028)-5C,HS20,2007.0
1821,S020 18521,1,Y,,,,,,,,,F-20-2(28)-1C,H15,1968.0
1822,S020 18521,2,,,,,,,,Y,,F-20-2(114) STD 1208,HS20,1989.0
1823,S020 18871,1,Y,,,,,,,,,F-20-2(1008),HS20,1984.0
1824,S020 19950,1,Y,,,,,,,,,NH-20-2(120)-1,HS25,1994.0
1825,S020 19950,2,,,,Y,,,,Y,,STR-20-2(1036)-1,,2012.0
1826,S020 19981,1,Y,,,,,,,,,317-C-4,H15,1931.0
1827,S020 19981,2,,,,,,,Y,,,8557,,
1828,S020 19981,3,,Y,,,,Y,,,,20(199.81),,1978.0
1829,S020 19981,4,,,,Y,,,,Y,,F-20-2(1009),,1988.0
1830,S020 19981,5,,,,,,,Y,,,11830,,
1831,S020 19981,6,,,,Y,,,,,,STR-20-2(1020),,1993.0
1832,S020 19981,7,,Y,,,,,,,,STPB-20-2(130),,1997.0
1833,S020 21831,1,Y,,,,,,,,,RF-20-2(103),HS20,1975.0
1834,S020 22072,1,Y,,,,,,,,,RF-20-2(103),HS20,1975.0
1835,S020 22961,1,Y,,,,,,,,,F-BRF-20-2(119),HS20,1989.0
1836,S020 22961,2,,,,,,,Y,,,11896,,
1837,S020 22961,3,,,,,,,,Y,,RD-20-2(1028),,2012.0
1838,S020 23546,1,Y,,,,,,,,,F-20-3(101)-2C,HS20,1978.0
1839,S020 24162,1,Y,,,,,,,,,317-F-1C,T20,1932.0
1840,S020 24162,2,,,,,,,,Y,,F-20-3(101)-7C,HS20,1978.0
1841,S020 24162,3,,,,,,,,Y,,F-20-3(109)-3C,HS20,1992.0
1842,S020 24188,1,Y,,,,,,,,,317-F,,1932.0
1843,S020 24188,2,,,,,,,,Y,,F-20-3(101)-9C,HS20,1978.0
1844,S020 24188,3,,,,,,,,Y,,F-20-3(109)STD 1310,HS20,1992.0
1845,S020 25011,1,Y,,,,,,,,,F-20-3(102)-1,HS20,1983.0
1846,S020 25011,2,,,,,,,Y,,,11395,,1983.0
1847,S020 25225,1,Y,,,,,,,,,FAGH-141-C(3)-1,H15,1938.0
1848,S020 25225,2,,,,,,,Y,,,9168,,
1849,S020 25225,3,,,,,,Y,,,,20(252.25),,1977.0
1850,S020 25225,4,,,,,Y,,,,,F-BHF-20-3(105)-1,H20,1985.0
1851,S020 25225,5,,,,,,,Y,,,11638,,1985.0
1852,S020 27627,1,Y,,,,,,,,,168-A(2)-1,H15,1938.0
1853,S020 27627,2,,,,,,,Y,,,9060,,
1854,S020 27627,3,,,,,Y,,,,,F-168(10)-1,HS20,1961.0
1855,S020 27627,4,,,,,,,Y,,,10223,,
1856,S020 27627,5,,,Y,,,,,,,S-20-4(1016)-2C,,1997.0
1857,S020 27934,1,Y,,,,,,,,,S-20-4(1016)-1,HS20,1997.0
1858,S020 29841,1,Y,,,,,,,,,UNKNOWN,,
1859,S020 29841,2,,,,,,,,Y,,EACNH-20-4(116)-2C,HS20,1993.0
1860,S020 31087,1,Y,,,,,,,,,200-A-1,H15,1937.0
1861,S020 31087,2,,,,,,,Y,,,9036,,
1862,S020 31087,3,,,,,Y,,,,,F-200(8)-1,HS20,1967.0
1863,S020 31087,4,,,,,,,Y,,,10578,,
1864,S020 31087,5,,Y,,,,,,,,20(310.87)-1,,1981.0
1865,S020 31087,6,,,,,,,,Y,,20(310.87),,1982.0
1866,S020 31087,7,,,,,,,,Y,,S-20-4(1023,,1998.0
1867,S020 31087,8,,,Y,,,,,,,STPP-20-4(122)-1C,HS20,2002.0
1868,S020 31087,9,,,,,,,,Y,,STR-20-4(1028)-1,,2008.0
1869,S020 31101,1,Y,,,,,,,,,200-A-3,H15,1937.0
1870,S020 31101,2,,,,,,,Y,,,9037,,
1871,S020 31101,3,,,,,Y,,,,,F-200(8)-2,HS20,1967.0
1872,S020 31101,4,,,,,,,Y,,,10578,,
1873,S020 31101,5,,Y,,,,,,,,20(311.01)-1,,1981.0
1874,S020 31101,6,,,,,,,,Y,,20(311.01),,1982.0
1875,S020 31101,7,,,Y,,,,,,,STPP-20-4(122)-2C,HS20,2002.0
1876,S020 31101,8,,,,,,,,Y,,STR-20-4(1028)-2,,2008.0
1877,S020 31219,1,Y,,,,,,,,,F-200(9),,1968.0
1878,S020 31752,1,Y,,,,,,,,,S-20-4(1017)-5C,HS20,1996.0
