,BIR_PRJD_ITEM_008,BIR_PRJD_RT_008A,BIR_PRJD_ORIG_PLN,BIR_PRJD_OVERLAY,BIR_PRJD_CURB,BIR_PRJD_DEV_RPAR,BIR_PRJD_WIDENING,BIR_PRJD_PAINTING,BIR_PRJD_SHOP_PLN,BIR_PRJD_OTHER,BIR_PRJD_RE_DECK,BIR_PRJD_FORM_PRJ,BIR_PRJD_DSGN_CLS,BIR_PRJD_YEAR
1879,S020 31826,1,Y,,,,,,,,,S-20-4(1017)-6C,HS20,1996.0
1880,S020 31928,1,Y,,,,,,,,,S-20-4(1017)-7C,HS20,1996.0
1881,S020 31951,1,Y,,,,,,,,,S-20-4(1017)-8C,HS20,1996.0
1882,S020 32180,1,Y,,,,,,,,,NH-BR-20-4(119)-1,HS25,2000.0
1883,S020 32215,1,Y,,,,,,,,,NH-BR-20-4(119)-4C,HS20,2000.0
1884,S020 32238,1,Y,,,,,,,,,NH-BR-20-4(119)-5C,HS20,2000.0
1885,S020 32260,1,Y,,,,,,,,,F-20-4(1009)-1,HS20,1990.0
1886,S020 32260,2,,,,,,,,Y,,ER-20-4(124)-1,HL93,2012.0
1887,S020 32269,1,Y,,,,,,,,,203-D-3,H15,1937.0
1888,S020 32269,2,,,,,,,Y,,,9027,,
1889,S020 32269,3,,,,,,,,Y,,F-203(A)-1,H20,1961.0
1890,S020 32269,4,,,,,,,Y,,,10191,,
1891,S020 32299,1,Y,,,,,,,,,UNKNOWN,,
1892,S020 32299,2,,,,,,,,Y,,F-203(10),H15,1963.0
1893,S020 32299,3,,,,,,,,Y,,STD PLAN 1823-R1,,
1894,S020 32299,4,,,,,,,,Y,,NH-BR-20-4(119)-6C,HS20,2000.0
1895,S020 33948,1,Y,,,,,,,,,BRF-20-5(104)-1,HS20,1986.0
1896,S020 33948,2,,,,,,,Y,,,11686,,1986.0
1897,S020 33948,3,,Y,,,Y,,,,,F-2--5(1009)-1,HS20,2001.0
1898,S020 34820,1,Y,,,,,,,,,F020-5(1001)-3C,HS20,1978.0
1899,S020 35464,1,Y,,,,,,,,,F-268(11)-C,H15,1967.0
1900,S020 36120,1,Y,,,,,,,,,UNKNOWN,,
1901,S020 36120,2,,,,,,,,Y,,268-A-2,H15,1934.0
1902,S020 36120,3,,,,,,,Y,,,8804,,
1903,S020 36120,4,,,,,Y,,,,,F-268(9)-1,H15,1957.0
1904,S020 36120,5,,,,,,,Y,,,9812,,
1905,S020 36326,1,Y,,,,,,,,,F-20-5(103)-1,HS20,1992.0
1906,S020 36393,1,Y,,,,,,,,,F-20-5(103)-2,HS20,1992.0
1907,S020 36486,1,Y,,,,,,,,,F-20-5(103)-3,HS20,1992.0
1908,S020 36545,1,Y,,,,,,,,,NH-20-5(110)-1,HS25,2004.0
1909,S020 36782,1,Y,,,,,,,,,F-268(9)-6,HS20,1957.0
1910,S020 36782,2,,,,,,,Y,,,9818,,
1911,S020 36782,3,,Y,,,Y,,,,,NH-20-5(110)-2,HS20,2004.0
1912,S020 36806,1,Y,,,,,,,,,NH-20-5(110)-3,HS25,2004.0
1913,S020 36981,1,Y,,,,,,,,,F-268(10),H15,1965.0
1914,S020 37412,1,Y,,,,,,,,,F-268(8)-1,H20,1955.0
1915,S020 37412,2,,,,,,,Y,,,9740,,
1916,S020 37412,3,,,,,Y,,,,,BHF-20-5(106)-1,HS20,1990.0
1917,S020 37580,1,Y,,,,,,,,,F-268(8),H15,1955.0
1918,S020 37797,1,Y,,,,,,,,,F-269(7)-1C,H15,1950.0
1919,S020 37832,1,Y,,,,,,,,,F-269(7),H15,1950.0
1920,S020 37832,2,,,,,,,,Y,,STD PLAN 1822-A2,,
1921,S020 37940,1,Y,,,,,,,,,F-269(7)-2C,T20,1950.0
1922,S020 38101,1,Y,,,,,,,,,269-C-4-R,T20,1929.0
1923,S020 38101,2,,,,,,,Y,,,8429,,
1924,S020 38101,3,,,,,Y,,,,,F-269(7)-1,H15,1950.0
1925,S020 38101,4,,,,,,,Y,,,9499,,
1926,S020 38101,5,,Y,Y,,Y,,,,,F-20-6(1003),H15,1982.0
1927,S020 38101,6,,,,,,,Y,,,11335,,1982.0
1928,S020 38156,1,Y,,,,,,,,,F-269(7),H15,1950.0
1929,S020 38156,2,,,,,,,,Y,,STD PLAN 1822-A3,,
1930,S020 38433,1,Y,,,,,,,,,F-269(7),H15,1950.0
1931,S020 38433,2,,,,,,,,Y,,1822-A3,,
1932,S020 38433,3,,,,,,,,Y,,1822-A6,,
1933,S020 38493,1,Y,,,,,,,,,F-269(7),H15,1950.0
1934,S020 38493,2,,,,,,,,Y,,1822-A2,,
1935,S020 38797,1,Y,,,,,,,,,WPH-269-B(2)-2,H15,1938.0
1936,S020 38797,2,,,,,,,Y,,,9101,,
1937,S020 38797,3,,,,,Y,,,,,F-269-A-1,H20,1971.0
1938,S020 38797,4,,,,,,,Y,,,10740,,
1939,S020 38968,1,Y,,,,,,,,,WPH-269-B(2)-1,H15,1938.0
1940,S020 38968,2,,,,,,,Y,,,9099,,
1941,S020 38968,3,,,,,Y,,,,,F-269-A-2,H20,1971.0
1942,S020 38968,4,,,,,,,Y,,,10740,,
1943,S020 39242,1,Y,,,,,,,,,F-4(14)-1,HS20,1968.0
1944,S020 39242,2,,,,,,,Y,,,10635,,
1945,S020 39242,3,,,Y,,,,,,,HES-000S(30)-3C,,1989.0
1946,S020 39242,4,,,,,Y,,,,,F-20-6(1008)-1,HS20,1991.0
1947,S020 39279,1,Y,,,,,,,,,NRH-4-3,H15,1934.0
1948,S020 39279,2,,,,,,,Y,,,8842,,
1949,S020 39279,3,,,,,Y,,,,,F-4(14)-2,HS20,1968.0
1950,S020 39279,4,,,,,,,Y,,,10635,,
1951,S020 39279,5,,,Y,,,,,,,HES-000S(30)-4C,,1989.0
1952,S020 39304A,1,Y,,,,,,,,,F-20-6(1008)-3C,HS20,1991.0
1953,S020 39335A,1,Y,,,,,,,,,F-20-6(1008)-3C,HS20,1991.0
1954,S020 39662,1,Y,,,,,,,,,NRH-383-A-1,H15,1934.0
1955,S020 39662,2,,,,,,,Y,,,8814,,
1956,S020 39662,3,,,,,Y,,,,,F-383(3)-1,HS20,1968.0
1957,S020 39662,4,,,,,,,Y,,,10635,,
1958,S020 39662,5,,,Y,,,,,,,F-20-6(1008)-5C,HS20,1992.0
1959,S020 39789,1,Y,,,,,,,,,NRH-383-A-2,H15,1934.0
1960,S020 39789,2,,,,,,,Y,,,8814,,
1961,S020 39789,3,,,,,Y,,,,,F-383(3)-2,HS20,1968.0
1962,S020 39789,4,,,,,,,Y,,,10635,,
1963,S020 39789,5,,,Y,,,,,,,F-20-6(1008)-6C,HS20,1992.0
1964,S020 39987,1,Y,,,,,,,,,NRH-383-B-1,H15,1935.0
1965,S020 39987,2,,,,,,,Y,,,8834,,
1966,S020 39987,3,,,,,Y,,,,,F-20-6(1001)-1,H15,1972.0
